"location","year","Acute care 30-day Standardized Mortality Ratio (SMR30)","Acute care Standardized Mortality Ratio (SMR)","Adjusted length of stay","Admission reviews met","Admission reviews reasons met","Ambulatory Care Sensitive Condition hospitalizations","AMI RSMR","AMI RSRR","Best places to work","Call center abandonment rate","Call center speed in responding to calls in seconds","Cardiorespiratory cohort","Cardiovascular cohort","Catheter associated urinary tract infection","Central line associated bloodstream infection","CHF RSMR","CHF RSRR","Continued stay reviews met","Continued stay reviews reasons met","Continuity of care","Efficiency (1/SFA)","Experience of care","Get a routine care appointment as soon as needed","Get an urgent care appointment as soon as needed","Hospital-wide 30-day readmission rate","In-hospital complications","Inpatient performance measures (ORYX)","Medicine cohort","Mental Health","Methicillin-resistant Staphylococcus aureus (MRSA) infection","Neurology cohort","New mental health appointments completed within 30 days from preferred date","New primary care appointments completed within 30 days from preferred date","New specialty care appointments completed within 30 days from preferred date","Outpatient performance measures (HEDIS like)","Overall job satisfaction","Overall rating of hospital (inpaitent)","Overall rating of primary care providers","Overall rating of specialty care providers","Patient safety indicator (PSI)","Patient satisfaction","PCMH Access composite","Pneumonia RSMR","Pneumonia RSRR","Population coverage","Recommend my organization as a good place to work","Registered nurse turnover rate","Satisfaction with organization","Surgical cohort","Ventilator associated events","Ventilator associated Pneumonia","Admission reviews met (unadjusted)","Comprehensiveness","Continued stay reviews met (unadjusted)","Days Waited for Urgent Appointment (PCMH)","Get a routine care appointment as soon as needed (PCMH)","Get a routine care appointment as soon as needed (SC)","Get an urgent care appointment as soon as needed (PCMH)","Get an urgent care appointment as soon as needed (SC)","Inpatient performance measures (ORYX90)","Outpatient performance measures (HED90)","Overall rating of hospital (inpatient)","Patient safety indicator (PSI Average Standardized Score)","PCMH timely appointment, care and information","Physician Capacity","Specialty Care timely appointment, care and information"
"Albany",2015,0.26275,0.481,0.53775,-9.286,-7.90000000000001,-4.09,0.874999999999999,0.14525,-13.5665,4.8465,7.60325,2.833,5.37,1.916,0.75975,2.36675,1.91925,-4.601,-5.97800000000001,-1.14125,-1.06,-0.259,-3.8045,-5.18125,1.325,0.2885,-5.25275,0.420999999999999,-0.735,0.10375,5.643,-0.512499999999999,-1.6955,-0.915749999999999,0.821999999999999,-0.269,-10.525,-2.932,2.639,0.95825,-9.80633333333335,1.365,1.439,1.396,-1.0195,-0.395,3.898,-0.35125,2.368,13.1135,3.871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albuquerque",2015,0.39425,0.63825,1.49575,-21.494,-22.659,8.4775,0.290666666666667,0.015750000000001,-11.1295,3.00125,198.4005,5.203,6.388,2.78225,0.78475,1.98,1.6925,-27.5,-26.785,-1.43325,-0.515750000000004,-2.1065,-15.09675,-17.3275,2.768,0.921,-10.5985,1.797,-1.77575,0.23925,6.309,-5.0955,-6.9775,-4.1075,-8.4785,-0.193,-7.051,-5.13199999999999,-10.34,0.94725,-13.8266666666667,-16.1063333333333,-0.0802500000000002,2.03075,-0.99625,-0.34825,5.43925,-0.358,3.645,10.4015,0.8515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alexandria",2015,0.1005,0.404,1.67125,-2.32899999999999,-2.63500000000001,7.87125,1.3195,NA,-5.462,16.38925,113.86525,-0.917,-1.33,0,0,-0.296,0.441749999999999,-4.09,-6.655,-2.1035,-1.69375,-0.64125,-8.5325,-11.63775,-2.171,0.68525,-7.828,-3.2,-1.00625,0,-3.303,-4.01875,-2.199,-6.1395,-2.06825,0.0089999999999999,-12.746,-10.565,-17.193,0.038,-16.598,-10.6846666666667,1.1775,-0.285,-0.24625,-0.22125,3.44225,-0.18575,-6.115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Altoona",2015,-0.146,-0.174,0.18725,-19.434,-18.263,2.08925,0.938000000000001,NA,-16.03975,9.408,87.37225,-7.045,-1.61,0,0,0.77875,0.475999999999999,-44.403,-42.267,-1.18525,-0.0949999999999953,-0.44525,8.5005,2.812,-0.484999999999999,-0.28175,2.79149999999999,2.96,-0.84125,0,13.946,-0.323,-6.15525,-3.175,-0.582750000000001,-0.36675,-3.373,-1.87599999999999,-3.744,0,6.536,2.56033333333333,0.8065,-0.3535,-1.0025,-0.49425,-1.2035,-0.488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amarillo",2015,0.27575,0.68325,0.3275,-5.408,-10.631,11.7835,0.441666666666667,-0.16875,-9.7275,15.397,60.778,1.063,3.42,1.46075,1.90425,2.11,2.8055,-4.572,-9.24600000000001,-2.446,-3.322,-0.59125,-17.39825,-22.0575,0.148,0.555,0.701249999999995,0.68,-2.003,0,-1.257,-0.142749999999999,-9.266,-3.8845,-0.757749999999998,-0.1865,-6.27500000000001,-9.098,-14.119,0.5115,-7.23333333333335,-20.9093333333333,2.75525,1.52175,-1.889,-0.32775,11.488,-0.3085,1.728,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anchorage",2015,NA,NA,NA,NA,NA,9.7515,NA,NA,-10.4185,16.851,35.884,NA,NA,NA,NA,NA,NA,NA,NA,-0.864,-11.4305,-0.5665,-8.691,-9.78725,NA,NA,NA,NA,-1.19725,NA,NA,-0.936,-3.57775,0.757750000000001,-1.33525,-0.23575,NA,-8.45599999999999,7.86200000000001,NA,NA,-7.414,NA,NA,-1.946,-0.3265,7.248,-0.30125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ann Arbor",2015,0.05175,0.22825,0.5235,-9.637,-13.657,6.29175,0.762333333333334,0.232,-4.86225,2.12125,25.3835,1.86,5.212,1.3635,0.421,0.89625,0.0945,-9.30200000000001,-15.266,-0.84825,-0.129250000000003,-0.49975,-8.0255,-6.72775,1.155,0.9925,-2.24025000000001,0.621,-0.888,0.01975,5.299,-1.32925,-5.732,-5.14225,-5.9635,-0.16175,6.67299999999999,0.38000000000001,-6.20699999999999,0.58375,6.27633333333332,-8.08566666666667,0.39125,0.16275,-1.357,-0.174,3.65325,-0.1395,1.946,8.2895,1.2075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asheville",2015,0.2115,0.1955,0.7125,-3.325,-2.44900000000001,-2.76425,2.00666666666667,0.204000000000001,2.42325,1.26875,17.3735,1.534,3.851,1.00325,0.6375,3.1405,0.878,-6.06700000000001,-5.98,-0.46075,-6.049,-0.68525,-3.29925,-7.83575,2.043,0.82375,-1.705,1.525,-0.54875,0.18775,5.595,-0.384249999999998,-0.305999999999997,-0.44275,-3.63325,0.0387499999999998,5.854,-3.976,-5.45999999999999,0.96075,9.06433333333333,-6.32133333333333,1.158,0.0219999999999998,-0.8865,0.0607500000000002,-0.0592500000000001,0.0175000000000002,3.835,9.677,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atlanta",2015,0.0655000000000001,0.48425,1.256,-15.982,-15.827,13.09625,0.565,-0.0592500000000005,-9.33125,13.1795,93.62275,3.001,6.901,0,0.10125,-0.24675,2.03825,-20.211,-18.989,-1.8565,-2.48275,-1.6675,-26.46275,-24.943,2.373,0.5535,-4.80725,1.911,-1.47,0.16075,8.52,0.000250000000001194,-20.1015,-9.78175,-1.81225,-0.1515,-18.046,-15.942,-12.456,0.827,-26.104,-22.524,-0.21675,0.66575,-0.39175,-0.26175,2.4455,-0.23775,2.397,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Augusta",2015,0.235,0.67625,1.0535,-14.709,-14.866,8.85025,1.747,0.302,-15.45375,19.861,146.9925,1.402,5.502,1.423,0.82825,2.42225,2.88525,-9.19800000000001,-7.425,-2.43625,-6.337,-2.718,-12.8465,-14.71075,2.688,0.34125,-2.60875,3.286,-2.3235,0.1235,11.831,-0.755499999999998,-4.142,-3.87125,-0.797000000000004,-0.23325,-15.768,-10.152,-0.676000000000002,1.46775,-26.3163333333333,-11.809,0.994,0.96975,-0.4695,-0.43925,6.4355,-0.43725,2.105,7.1175,0.9135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Baltimore",2015,0.261,0.5225,1.1585,-9.143,-9.736,10.0355,0.805,0.16925,-10.39125,4.614,45.3325,1.261,4.566,1.18275,0.9335,-0.2035,3.205,-3.93600000000001,-4.693,-1.748,-5.47,-1.01925,-20.472,-18.181,1.76,0.2245,-12.83975,1.138,-0.98025,0.0185,6.288,-1.63124999999999,-14.435,-2.6055,-4.814,-0.1965,-25.513,-11.32,-9.681,1.265,-31.7363333333333,-19.8446666666667,1.17325,1.1375,-0.13525,-0.30225,3.64825,-0.30575,3.934,9.26,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bath",2015,-0.1005,-0.2305,-0.34175,-3.59999999999999,-4.414,3.48475,NA,NA,4.6565,0.353,-5.74075,7.791,-5.952,0,0,0.75275,1.5065,-19.158,-19.858,-0.07025,-1.5435,-0.84575,-8.80925,-14.2285,4.122,0.63275,-3.2565,3.252,0.36025,0,-3.303,0.116250000000001,-0.602,-12.791,-1.4245,0.16375,-0.251000000000005,-8.071,-7.84699999999999,0,-1.40500000000001,-8.99766666666667,1.62875,0.706500000000001,0.696,0.10175,14.299,0.15375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
