Year,"Geographic
Region,
Based on
state of
death",State of Death,"Age
Group","Veteran
Suicides","Veteran
Suicide
Rate
per
100,000","General
Population
Suicides","General
Population
Rate per
100,000"
2005,Total U.S.,Total U.S.,Total,"5,797",23.9,"31,610",14.7
2005,Total U.S.,Total U.S.,18-34,544,25.2,"8,455",13.1
2005,Total U.S.,Total U.S.,35-54,"2,063",29.0,"13,541",15.9
2005,Total U.S.,Total U.S.,55-74,"1,868",18.7,"6,554",13.5
2005,Total U.S.,Total U.S.,75+,"1,319",26.3,"3,060",18.7
2005,Northeast,All,Total,698,17.6,"4,298",10.7
2005,Northeast,All,18-34,43,17.3,"1,096",9.9
2005,Northeast,All,35-54,233,23.8,"1,891",11.6
2005,Northeast,All,55-74,238,14.1,874,9.4
2005,Northeast,All,75+,184,17.6,437,12.3
2005,Northeast,Connecticut,Total,45,16.9,284,11.1
2005,Northeast,Connecticut,18-34,<10,--,56,8.6
2005,Northeast,Connecticut,35-54,17,26.6*,144,13.3
2005,Northeast,Connecticut,55-74,15,13.3*,57,9.6
2005,Northeast,Connecticut,75+,10-20,--,27,11.7
2005,Northeast,Maine,Total,43,29.3,173,17.2
2005,Northeast,Maine,18-34,<10,--,38,15.4
2005,Northeast,Maine,35-54,15,35.7*,67,16.2
2005,Northeast,Maine,55-74,16,25.4*,50,19.6
2005,Northeast,Maine,75+,<10,--,18,20.7*
2005,Northeast,Massachusetts,Total,64,13.6,468,9.9
2005,Northeast,Massachusetts,18-34,<10,--,130,9.8
2005,Northeast,Massachusetts,35-54,20,18.0,203,10.5
2005,Northeast,Massachusetts,55-74,19,9.5*,94,9.0
2005,Northeast,Massachusetts,75+,10-20,--,41,9.9
2005,Northeast,New Hampshire,Total,33,25.8,158,16.3
2005,Northeast,New Hampshire,18-34,<10,--,31,12.6
2005,Northeast,New Hampshire,35-54,<10,--,75,17.6
2005,Northeast,New Hampshire,55-74,15,25.9*,33,14.6
2005,Northeast,New Hampshire,75+,<10,--,19,26.8*
2005,Northeast,New Jersey,Total,63,11.4,524,8.2
2005,Northeast,New Jersey,18-34,<10,--,143,8.3
2005,Northeast,New Jersey,35-54,21,17.1,226,8.5
2005,Northeast,New Jersey,55-74,22,9.1,97,6.7
2005,Northeast,New Jersey,75+,10-20,--,58,10.8
2005,Northeast,New York,Total,157,13.7,"1,154",8.2
2005,Northeast,New York,18-34,10,12.8*,313,7.6
2005,Northeast,New York,35-54,45,15.5,487,8.6
2005,Northeast,New York,55-74,63,13.1,243,7.6
2005,Northeast,New York,75+,39,13.1,111,9.5
2005,Northeast,Pennsylvania,Total,268,24.2,"1,393",15.2
2005,Northeast,Pennsylvania,18-34,18,26.1*,350,14.5
2005,Northeast,Pennsylvania,35-54,96,34.9,622,17.1
2005,Northeast,Pennsylvania,55-74,83,17.7,270,12.3
2005,Northeast,Pennsylvania,75+,71,24.0,151,16.3
2005,Northeast,Rhode Island,Total,12,13.8*,68,8.7
2005,Northeast,Rhode Island,18-34,<10,--,10-20,--
2005,Northeast,Rhode Island,35-54,<10,--,30,9.5
2005,Northeast,Rhode Island,55-74,<10,--,19,10.9*
2005,Northeast,Rhode Island,75+,<10,--,<10,--
2005,Northeast,Vermont,Total,13,25.0*,76,16.2
2005,Northeast,Vermont,18-34,<10,--,21,17.5
2005,Northeast,Vermont,35-54,<10,--,37,18.9
2005,Northeast,Vermont,55-74,<10,--,10-20,--
2005,Northeast,Vermont,75+,<10,--,<10,--
2005,Midwest,All,Total,"1,374",25.3,"7,029",14.6
2005,Midwest,All,18-34,120,28.6,"1,974",13.8
2005,Midwest,All,35-54,512,33.2,"3,084",16.2
2005,Midwest,All,55-74,445,19.4,"1,367",12.7
2005,Midwest,All,75+,296,25.1,604,15.7
2005,Midwest,Illinois,Total,190,21.8,"1,065",11.6
2005,Midwest,Illinois,18-34,24,34.8,289,10.1
2005,Midwest,Illinois,35-54,70,30.8,455,12.5
2005,Midwest,Illinois,55-74,61,16.5,229,11.5
2005,Midwest,Illinois,75+,35,17.1,92,13.4
