StateLong;State;Veteran Population;TotalExpenditures;CompensationAndPension;Construction;EducationAndVocRehab;LoanGuaranty;OperatingExp;InsuranceAndIndemnities;MedicalAndGOE;UniquePatient;Year
Alabama;AL;421992.11;1374854.95;781563.58;2030.42;57565.75;;;24672.00;509023.20;;2005
Alaska;AK;66537.43;229954.09;112403.33;1662.25;10576.96;;;2481.00;102830.54;;2005
Arizona;AZ;552963.39;1519913.38;741741.31;7668.17;85493.59;;;41156.98;643853.33;;2005
Arkansas;AR;265531.52;1097048.78;521422.31;3174.51;30352.82;;;15499.02;526600.12;;2005
California;CA;2257130.04;5939723.76;2664231.99;28303.21;304137.69;;;186061.36;2756989.51;;2005
Colorado;CO;424028.86;1618301.43;557998.43;7868.19;77083.65;;;29072.00;946279.16;;2005
Connecticut;CT;260387.98;601529.11;203599.48;2399.68;42701.92;;;28785.99;324042.03;;2005
Delaware;DE;79915.36;196068.20;81725.85;1997.28;6945.49;;;5619.00;99780.59;;2005
District of Columbia;DC;36055.53;1765921.06;93350.65;4625.85;15330.32;;;3302.00;1649312.24;;2005
Florida;FL;1768358.74;5156967.20;2547217.44;19317.20;217635.75;;;166831.20;2205965.62;;2005
Georgia;GA;758962.51;2049475.03;1080278.15;14488.26;153708.49;;;40966.20;760033.93;;2005
Hawaii;HI;104841.77;324965.99;163804.16;668.96;19908.95;;;15691.02;124892.90;;2005
Idaho ;ID;132553.66;311236.04;181769.37;1430.85;16010.22;;;7999.02;104026.59;;2005
Illinois;IL;874386.51;1892843.34;675042.82;28889.36;92900.80;;;74774.25;1021236.12;;2005
Indiana;IN;542505.25;927106.91;464766.66;735.35;37635.29;;;27161.05;396808.55;;2005
Iowa ;IA;260405.59;636337.06;245946.64;2564.59;19847.19;;;22240.91;345737.73;;2005
Kansas ;KS;241958.15;658484.11;273065.72;1930.36;28241.78;;;17898.07;337348.18;;2005
Kentucky;KY;355576.35;1008453.98;556571.27;4349.84;40220.21;;;17875.98;389436.68;;2005
Louisiana ;LA;361756.84;1258102.86;618578.22;2287.76;48869.83;;;23479.55;564887.50;;2005
Maine ;ME;141415.62;502581.25;294034.45;2064.39;25408.40;;;9796.00;171278.02;;2005
Maryland ;MD;478542.95;1006510.96;503180.36;3142.55;60009.74;;;38276.05;401902.27;;2005
Massachusetts ;MA;476363.37;1411604.65;606064.95;4609.14;45020.51;;;48065.10;707844.94;;2005
Michigan ;MI;820485.36;1568758.21;713938.34;8797.23;60712.87;;;49199.06;736110.71;;2005
Minnesota  ;MN;418386.01;1142722.76;501299.22;5389.74;38040.87;;;37363.43;560629.50;;2005
Mississippi ;MS;238278.99;918223.37;392591.05;2873.74;23898.57;;;12931.00;485929.01;;2005
Missouri  ;MO;546416.18;1684860.61;637033.39;3321.19;55633.00;;;34509.09;954363.93;;2005
Montana ;MT;101437.63;285761.10;157711.48;334.69;11245.75;;;7318.01;109151.17;;2005
